burst-time,0,50.1684,55.6355,2.0087,42.8339,0.15530000000000002,5.0516000000000005,69.7744,0.21810000000000002,6.0302,0,0,0,0,0.044,0,28.5351,0,0,0,0
smyth-time,0,0.04251200000022,0.03203900000018,0.09792899999999,0.10198100000027999,0.13464399999983,0.27344799999993,0.43461000000028,0.38778600000034996,0.4885469999999201,0.6453140000002999,0.5721429999998,0.543173,0.7500759999999,0.7502410000003099,0.9776559999998,1.00432299999999,1.0939919999999002,0.9639790000000998,1.1485569999999,1.1514200000000998
syruptimeout,0,0,0,0,1,1,3,2,6,5,9,9,8,9,10,10,10,10,10,10,10
burst-timeout,0,1,3,6,7,5,7,6,6,7,10,9,10,10,8,10,6,10,10,10,10
smyth-timeout,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
list_drop,,,,,,,,,,,,,,,,,,,,,
count,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
syrupcorrect,0,0,1,0,4,7,4,5,6,3,4,1,1,0,1,0,0,0,1,0,0
burst-correct,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,1,0,0,1,1
smyth-correct,0,0,0,0,0,4,4,5,7,7,7,9,8,10,10,10,10,10,10,9,9
smyth-rec-correct,0,0,0,0,1,4,4,7,7,7,7,9,8,10,10,10,10,10,10,9,9
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,1,0,2,2,2,1,2,1,2,1,1,0,0,0,0,0,0,0,0
syruptime,0,0.017499999999999998,0.30460000000000004,0.3966,8.248099999999999,20.105300000000003,18.471500000000002,58.265299999999996,76.68450000000001,57.0931,102.22659999999999,1.997,22.586399999999998,0,83.3323,0,0,0,103.0621,0,0
burst-time,0,0.1812,1.1502,3.4292,5.9347,1.6365,87.45230000000001,6.5369,15.085500000000001,0.5042,55.0047,114.9951,0.1664,54.0971,221.31219999999996,70.1315,55.2173,11.8635,0,22.461100000000002,50.632
smyth-time,0,0.038782000000330004,0.04190800000016,0.054463999999829996,0.08551199999987999,0.14680499999983002,0.21850800000025003,0.26941499999972,0.32910899999991006,0.62736700000003,0.42984200000019,0.5496519999998,0.62936200000002,0.705965,1.1557779999998,0.8850380000002,1.1842719999998,1.1266250000001001,1.2178119999998998,1.2586510000003,1.3522420000000999
syruptimeout,0,0,0,0,0,0,2,3,3,5,5,9,8,10,9,10,10,10,9,10,10
burst-timeout,0,0,1,0,2,7,4,7,8,8,8,8,9,9,6,8,9,9,10,7,9
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_nth,,,,,,,,,,,,,,,,,,,,,
count,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
syrupcorrect,0,0,0,1,4,6,7,7,4,7,2,5,3,2,2,2,1,0,0,0,0
burst-correct,0,0,0,0,0,0,0,0,2,0,1,0,2,0,2,2,0,2,1,1,3
smyth-correct,0,0,0,0,0,1,3,2,6,6,2,6,9,8,7,9,10,9,10,10,9
smyth-rec-correct,0,0,0,0,0,1,4,2,7,6,2,6,9,8,7,9,10,9,10,10,9
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,1,2,2,3,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0
syruptime,0,0.011399999999999999,0.0332,0.3369,12.7686,21.665399999999995,33.1244,86.998,55.0915,131.4193,6.0827,69.2369,41.2394,138.1398,92.0376,75.624,109.4951,0,0,0,0
burst-time,0,0.0192,31.330900000000003,9.0017,7.639499999999998,95.7894,15.0309,0.8838,33.555400000000006,7.9308,30.152,0.1902,69.3651,0.11800000000000001,103.0833,80.2562,0,91.1611,91.582,9.389,187.3481
smyth-time,0,0.035859000000319996,0.04221599999983,0.03966999999989,0.08913400000023,1.42373999999993,4.359841999999641,49.007115999999904,0.336102,0.5106540000003,0.36182500000026996,0.5461340000002,0.7110409999998,0.70164499999983,0.7399910000000001,0.98510500000001,1.112828,1.180241,1.2069129999999,1.1270060000002,1.0864380000000002
syruptimeout,0,0,0,0,0,0,2,2,6,3,5,5,7,7,8,7,9,10,10,10,10
burst-timeout,0,0,0,0,3,4,6,7,7,6,3,9,7,8,6,6,10,7,9,9,7
smyth-timeout,0,0,0,0,0,0,0,2,0,0,2,2,0,0,1,0,0,0,0,0,1
list_sum,,,,,,,,,,,,,,,,,,,,,
count,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0
syrupcorrect,0,0,1,8,9,10,10,10,10,10,8,0,0,0,0,0,0,0,0,0,0
burst-correct,0,1,9,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,0,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0.057999999999999996,0.12190000000000001,0.2742,0.5614,2.6186,3.2832000000000003,6.570600000000001,5.840099999999999,27.268300000000004,11.4239,0,0,0,0,0,0,0,0,0,0
burst-time,0,0.5932,12.9332,4.5167,13.0732,6.123199999999999,31.108099999999997,9.6491,31.930999999999997,2.3720999999999997,11.118199999999998,0,0,0,0,0,0,0,0,0,0
smyth-time,0,0.3007019999996,0.2802240000002,0.28849099999960004,0.296439,0.3021989999997,0.303251,0.31573500000020005,0.31802399999970005,0.3274970000003,0.3347990000001,0,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list_length,,,,,,,,,,,,,,,,,,,,,
count,0,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrupcorrect,0,7,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-correct,0,0,4,7,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,0,0,4,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,3,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
